 &plot nbnd=  46, nks=   361 /
            0.000000  0.000000  0.000000
  -44.571  -22.783  -22.437  -22.437  -12.158  -11.705   -1.561    0.521    1.424    1.424
    1.694    1.694    4.549    6.299    6.299    6.908    6.908    7.012    8.738    9.629
   11.738   13.781   13.781   13.967   14.843   15.471   15.471   16.821   18.377   18.377
   18.656   18.656   19.295   19.297   21.265   22.117   22.117   22.218   23.481   23.940
   23.940   24.472   24.751   24.751   25.280   25.529
            0.004167  0.002406  0.000000
  -44.571  -22.783  -22.437  -22.437  -12.158  -11.705   -1.560    0.521    1.424    1.424
    1.693    1.694    4.549    6.299    6.299    6.908    6.908    7.013    8.738    9.631
   11.739   13.773   13.782   13.975   14.843   15.467   15.471   16.824   18.372   18.378
   18.655   18.655   19.296   19.304   21.264   22.118   22.118   22.219   23.473   23.938
   23.945   24.473   24.737   24.750   25.293   25.532
            0.008333  0.004811  0.000000
  -44.571  -22.783  -22.438  -22.437  -12.157  -11.704   -1.560    0.521    1.421    1.424
    1.692    1.693    4.549    6.297    6.299    6.907    6.909    7.016    8.740    9.634
   11.739   13.751   13.783   13.996   14.844   15.456   15.471   16.834   18.356   18.379
   18.651   18.651   19.298   19.324   21.262   22.119   22.122   22.220   23.448   23.929
   23.959   24.476   24.697   24.748   25.331   25.541
            0.012500  0.007217  0.000000
  -44.571  -22.782  -22.438  -22.437  -12.157  -11.704   -1.559    0.520    1.417    1.424
    1.689    1.692    4.549    6.295    6.300    6.906    6.910    7.021    8.743    9.640
   11.741   13.721   13.786   14.024   14.845   15.439   15.471   16.850   18.331   18.381
   18.644   18.646   19.302   19.356   21.257   22.122   22.128   22.221   23.411   23.916
   23.978   24.481   24.641   24.744   25.384   25.556
            0.016667  0.009623  0.000000
  -44.571  -22.782  -22.438  -22.438  -12.156  -11.704   -1.557    0.520    1.411    1.424
    1.686    1.690    4.549    6.292    6.301    6.904    6.912    7.027    8.747    9.649
   11.742   13.686   13.791   14.056   14.847   15.416   15.472   16.871   18.299   18.384
   18.635   18.638   19.308   19.399   21.251   22.126   22.136   22.224   23.364   23.897
   23.999   24.488   24.573   24.739   25.446   25.577
            0.020833  0.012028  0.000000
  -44.570  -22.782  -22.439  -22.438  -12.155  -11.703   -1.555    0.519    1.404    1.424
    1.681    1.688    4.550    6.289    6.302    6.903    6.915    7.036    8.752    9.660
   11.744   13.649   13.796   14.090   14.850   15.387   15.473   16.897   18.263   18.388
   18.623   18.627   19.315   19.449   21.244   22.131   22.147   22.227   23.309   23.874
   24.021   24.499   24.499   24.733   25.513   25.604
            0.025000  0.014434  0.000000
  -44.570  -22.782  -22.439  -22.438  -12.153  -11.703   -1.553    0.518    1.395    1.424
    1.675    1.685    4.550    6.284    6.303    6.900    6.918    7.046    8.758    9.673
   11.747   13.611   13.803   14.124   14.853   15.353   15.474   16.927   18.223   18.393
   18.609   18.615   19.324   19.507   21.234   22.136   22.159   22.231   23.250   23.847
   24.041   24.421   24.514   24.725   25.582   25.635
            0.029167  0.016839  0.000000
  -44.570  -22.782  -22.440  -22.438  -12.152  -11.702   -1.550    0.517    1.384    1.424
    1.669    1.682    4.551    6.279    6.305    6.898    6.921    7.058    8.766    9.688
   11.750   13.572   13.810   14.158   14.856   15.315   15.475   16.959   18.181   18.399
   18.592   18.600   19.335   19.569   21.224   22.142   22.174   22.236   23.186   23.816
   24.057   24.340   24.533   24.716   25.649   25.670
            0.033333  0.019245  0.000000
  -44.570  -22.782  -22.441  -22.438  -12.150  -11.701   -1.547    0.515    1.372    1.424
    1.661    1.678    4.552    6.274    6.307    6.895    6.926    7.072    8.774    9.706
   11.754   13.532   13.819   14.192   14.861   15.274   15.477   16.992   18.141   18.405
   18.573   18.583   19.347   19.637   21.212   22.147   22.191   22.241   23.120   23.782
   24.071   24.257   24.556   24.705   25.710   25.715
            0.037500  0.021651  0.000000
  -44.570  -22.781  -22.442  -22.438  -12.148  -11.701   -1.544    0.513    1.358    1.424
    1.652    1.674    4.553    6.267    6.309    6.891    6.930    7.087    8.784    9.726
   11.758   13.491   13.830   14.226   14.866   15.229   15.478   17.025   18.102   18.413
   18.551   18.565   19.361   19.707   21.199   22.152   22.209   22.247   23.053   23.746
   24.080   24.174   24.583   24.694   25.753   25.775
            0.041667  0.024056  0.000000
  -44.570  -22.781  -22.443  -22.439  -12.146  -11.700   -1.540    0.512    1.343    1.424
    1.643    1.670    4.554    6.260    6.312    6.888    6.935    7.104    8.795    9.748
   11.762   13.451   13.841   14.258   14.871   15.182   15.480   17.056   18.067   18.421
   18.528   18.544   19.376   19.781   21.184   22.155   22.229   22.253   22.986   23.707
   24.087   24.089   24.614   24.681   25.799   25.827
            0.045833  0.026462  0.000000
  -44.570  -22.781  -22.444  -22.439  -12.143  -11.699   -1.536    0.510    1.326    1.424
    1.632    1.665    4.555    6.253    6.314    6.884    6.941    7.122    8.806    9.773
   11.767   13.410   13.853   14.290   14.878   15.134   15.483   17.084   18.037   18.430
   18.502   18.522   19.394   19.856   21.169   22.156   22.251   22.261   22.919   23.667
   24.005   24.091   24.649   24.668   25.848   25.870
            0.050000  0.028868  0.000000
  -44.570  -22.781  -22.445  -22.439  -12.140  -11.697   -1.531    0.507    1.308    1.424
    1.621    1.659    4.556    6.245    6.317    6.880    6.947    7.142    8.819    9.799
   11.772   13.369   13.867   14.321   14.885   15.083   15.485   17.106   18.015   18.440
   18.474   18.497   19.413   19.934   21.152   22.154   22.269   22.274   22.854   23.625
   23.920   24.093   24.654   24.687   25.898   25.899
            0.054167  0.031273  0.000000
  -44.570  -22.780  -22.447  -22.439  -12.137  -11.696   -1.526    0.505    1.289    1.424
    1.608    1.654    4.557    6.236    6.320    6.877    6.954    7.163    8.833    9.827
   11.778   13.328   13.882   14.351   14.893   15.032   15.488   17.122   18.001   18.444
   18.450   18.471   19.433   20.014   21.135   22.148   22.277   22.298   22.792   23.583
   23.835   24.094   24.639   24.727   25.912   25.953
            0.058333  0.033679  0.000000
  -44.570  -22.780  -22.448  -22.440  -12.134  -11.695   -1.520    0.502    1.268    1.424
    1.595    1.647    4.558    6.228    6.324    6.873    6.961    7.186    8.848    9.857
   11.784   13.287   13.898   14.379   14.903   14.979   15.491   17.129   17.997   18.412
   18.444   18.461   19.455   20.095   21.117   22.136   22.286   22.322   22.736   23.541
   23.751   24.093   24.623   24.770   25.909   26.008
            0.062500  0.036084  0.000000
  -44.570  -22.779  -22.450  -22.440  -12.130  -11.693   -1.515    0.499    1.246    1.423
    1.581    1.641    4.559    6.219    6.328    6.868    6.968    7.209    8.864    9.888
   11.791   13.246   13.915   14.406   14.913   14.926   15.494   17.127   18.005   18.378
   18.415   18.473   19.479   20.177   21.097   22.116   22.296   22.347   22.687   23.498
   23.667   24.091   24.607   24.814   25.893   26.065
            0.066667  0.038490  0.000000
  -44.569  -22.779  -22.452  -22.440  -12.127  -11.692   -1.508    0.496    1.223    1.423
    1.566    1.633    4.560    6.209    6.332    6.864    6.976    7.234    8.881    9.922
   11.798   13.205   13.933   14.431   14.872   14.924   15.498   17.116   18.023   18.343
   18.384   18.486   19.504   20.260   21.077   22.088   22.305   22.371   22.646   23.457
   23.584   24.090   24.590   24.860   25.866   26.123
            0.070833  0.040896  0.000000
  -44.569  -22.778  -22.453  -22.441  -12.123  -11.690   -1.502    0.493    1.198    1.423
    1.550    1.626    4.561    6.200    6.336    6.860    6.985    7.260    8.900    9.957
   11.806   13.164   13.952   14.454   14.818   14.937   15.501   17.096   18.052   18.307
   18.353   18.500   19.531   20.343   21.056   22.051   22.316   22.395   22.613   23.417
   23.501   24.088   24.573   24.907   25.831   26.182
            0.075000  0.043301  0.000000
  -44.569  -22.778  -22.455  -22.441  -12.119  -11.689   -1.495    0.489    1.173    1.423
    1.533    1.618    4.562    6.190    6.341    6.856    6.994    7.287    8.919    9.993
   11.814   13.123   13.973   14.475   14.764   14.951   15.506   17.069   18.089   18.269
   18.320   18.514   19.559   20.428   21.034   22.005   22.326   22.417   22.589   23.379
   23.420   24.087   24.556   24.955   25.790   26.242
            0.079167  0.045707  0.000000
  -44.569  -22.777  -22.457  -22.442  -12.114  -11.687   -1.487    0.485    1.146    1.423
    1.516    1.610    4.563    6.180    6.346    6.853    7.003    7.315    8.939   10.031
   11.822   13.083   13.994   14.495   14.710   14.966   15.510   17.035   18.134   18.230
   18.285   18.529   19.588   20.512   21.011   21.953   22.336   22.438   22.573   23.341
   23.344   24.085   24.538   25.004   25.744   26.303
            0.083333  0.048113  0.000000
  -44.569  -22.777  -22.459  -22.442  -12.110  -11.685   -1.480    0.481    1.118    1.422
    1.498    1.601    4.564    6.170    6.351    6.849    7.013    7.344    8.960   10.070
   11.831   13.043   14.017   14.511   14.656   14.983   15.515   16.997   18.186   18.190
   18.250   18.544   19.618   20.597   20.986   21.895   22.346   22.455   22.562   23.263
   23.312   24.085   24.520   25.053   25.696   26.364
            0.087500  0.050518  0.000000
  -44.569  -22.776  -22.462  -22.443  -12.105  -11.683   -1.472    0.477    1.090    1.422
    1.480    1.592    4.564    6.160    6.357    6.845    7.023    7.374    8.982   10.110
   11.840   13.004   14.040   14.526   14.602   15.001   15.520   16.956   18.150   18.214
   18.242   18.560   19.650   20.683   20.960   21.833   22.356   22.468   22.556   23.188
   23.286   24.085   24.502   25.103   25.646   26.425
            0.091667  0.052924  0.000000
  -44.568  -22.776  -22.464  -22.443  -12.100  -11.681   -1.463    0.472    1.060    1.422
    1.460    1.582    4.565    6.150    6.363    6.842    7.033    7.404    9.005   10.152
   11.850   12.964   14.065   14.538   14.549   15.020   15.526   16.912   18.108   18.176
   18.303   18.577   19.682   20.768   20.931   21.769   22.364   22.476   22.554   23.115
   23.265   24.085   24.484   25.153   25.594   26.487
            0.095833  0.055329  0.000000
  -44.568  -22.775  -22.466  -22.444  -12.094  -11.679   -1.455    0.467    1.029    1.422
    1.440    1.573    4.565    6.141    6.369    6.839    7.044    7.435    9.029   10.194
   11.860   12.925   14.091   14.496   14.549   15.041   15.532   16.865   18.066   18.138
   18.367   18.594   19.716   20.852   20.901   21.706   22.370   22.478   22.553   23.047
   23.251   24.087   24.466   25.204   25.541   26.547
            0.100000  0.057735  0.000000
  -44.568  -22.774  -22.469  -22.444  -12.089  -11.676   -1.446    0.462    0.998    1.420
    1.421    1.563    4.566    6.131    6.375    6.836    7.055    7.467    9.053   10.238
   11.870   12.887   14.117   14.444   14.556   15.062   15.539   16.818   18.023   18.099
   18.434   18.612   19.749   20.868   20.937   21.643   22.373   22.473   22.554   22.984
   23.244   24.089   24.448   25.254   25.488   26.605
            0.104167  0.060141  0.000000
  -44.568  -22.774  -22.471  -22.445  -12.083  -11.674   -1.436    0.456    0.966    1.399
    1.421    1.552    4.566    6.122    6.382    6.834    7.066    7.499    9.079   10.282
   11.881   12.849   14.145   14.392   14.562   15.085   15.546   16.769   17.980   18.060
   18.503   18.630   19.784   20.832   21.020   21.582   22.372   22.462   22.556   22.929
   23.246   24.092   24.430   25.304   25.434   26.661
            0.108333  0.062546  0.000000
  -44.568  -22.773  -22.474  -22.445  -12.077  -11.671   -1.426    0.450    0.933    1.378
    1.420    1.541    4.566    6.113    6.390    6.832    7.078    7.532    9.105   10.327
   11.892   12.811   14.173   14.341   14.566   15.108   15.553   16.720   17.937   18.019
   18.574   18.649   19.818   20.794   21.102   21.525   22.365   22.443   22.558   22.882
   23.254   24.095   24.413   25.354   25.381   26.712
            0.112500  0.064952  0.000000
  -44.567  -22.772  -22.477  -22.446  -12.071  -11.669   -1.416    0.444    0.899    1.356
    1.420    1.531    4.565    6.104    6.397    6.830    7.090    7.565    9.133   10.372
   11.903   12.774   14.203   14.292   14.568   15.132   15.561   16.670   17.894   17.978
   18.646   18.669   19.852   20.751   21.182   21.472   22.350   22.418   22.561   22.846
   23.270   24.099   24.396   25.328   25.403   26.736
            0.116667  0.067358  0.000000
  -44.567  -22.772  -22.480  -22.446  -12.065  -11.666   -1.406    0.437    0.865    1.334
