        0.0000000000       -9.7193032827
        0.0020040080       -9.5260549706
        0.0040080160       -9.3332923967
        0.0060120240       -9.1411664988
        0.0080160321       -8.9498279015
        0.0100200401       -8.7594263020
        0.0120240481       -8.5701098387
        0.0140280561       -8.3820244500
        0.0160320641       -8.1953132310
        0.0180360721       -8.0101157975
        0.0200400802       -7.8265676654
        0.0220440882       -7.6447996542
        0.0240480962       -7.4649373237
        0.0260521042       -7.2871004506
        0.0280561122       -7.1114025536
        0.0300601202       -6.9379504732
        0.0320641283       -6.7668440117
        0.0340681363       -6.5981756376
        0.0360721443       -6.4320302596
        0.0380761523       -6.2684850697
        0.0400801603       -6.1076094582
        0.0420841683       -5.9494649990
        0.0440881764       -5.7941055047
        0.0460921844       -5.6415771455
        0.0480961924       -5.4919186312
        0.0501002004       -5.3451614473
        0.0521042084       -5.2013301419
        0.0541082164       -5.0604426530
        0.0561122244       -4.9225106714
        0.0581162325       -4.7875400289
        0.0601202405       -4.6555311037
        0.0621242485       -4.5264792357
        0.0641282565       -4.4003751420
        0.0661322645       -4.2772053259
        0.0681362725       -4.1569524717
        0.0701402806       -4.0395958193
        0.0721442886       -3.9251115129
        0.0741482966       -3.8134729198
        0.0761523046       -3.7046509151
        0.0781563126       -3.5986141322
        0.0801603206       -3.4953291756
        0.0821643287       -3.3947607988
        0.0841683367       -3.2968720471
        0.0861723447       -3.2016243681
        0.0881763527       -3.1089776943
        0.0901803607       -3.0188905004
        0.0921843687       -2.9313198409
        0.0941883768       -2.8462213741
        0.0961923848       -2.7635493759
        0.0981963928       -2.6832567508
        0.1002004008       -2.6052950450
        0.1022044088       -2.5296144660
        0.1042084168       -2.4561639147
        0.1062124248       -2.3848910326
        0.1082164329       -2.3157422681
        0.1102204409       -2.2486629650
        0.1122244489       -2.1835974725
        0.1142284569       -2.1204892802
        0.1162324649       -2.0592811746
        0.1182364729       -1.9999154183
        0.1202404810       -1.9423339478
        0.1222444890       -1.8864785879
        0.1242484970       -1.8322912780
        0.1262525050       -1.7797143069
        0.1282565130       -1.7286905504
        0.1302605210       -1.6791637076
        0.1322645291       -1.6310785297
        0.1342685371       -1.5843810377
        0.1362725451       -1.5390187221
        0.1382765531       -1.4949407236
        0.1402805611       -1.4520979864
        0.1422845691       -1.4104433859
        0.1442885772       -1.3699318246
        0.1462925852       -1.3305202966
        0.1482965932       -1.2921679196
        0.1503006012       -1.2548359347
        0.1523046092       -1.2184876752
        0.1543086172       -1.1830885063
        0.1563126253       -1.1486057389
        0.1583166333       -1.1150085200
        0.1603206413       -1.0822677048
        0.1623246493       -1.0503557149
        0.1643286573       -1.0192463862
        0.1663326653       -0.9889148127
        0.1683366733       -0.9593371901
        0.1703406814       -0.9304906645
        0.1723446894       -0.9023531903
        0.1743486974       -0.8749034005
        0.1763527054       -0.8481204940
        0.1783567134       -0.8219841407
        0.1803607214       -0.7964744088
        0.1823647295       -0.7715717120
        0.1843687375       -0.7472567800
        0.1863727455       -0.7235106496
        0.1883767535       -0.7003146762
        0.1903807615       -0.6776505629
        0.1923847695       -0.6555004058
        0.1943887776       -0.6338467500
        0.1963927856       -0.6126726558
        0.1983967936       -0.5919617686
        0.2004008016       -0.5716983903
        0.2024048096       -0.5518675473
        0.2044088176       -0.5324550526
        0.2064128257       -0.5134475566
        0.2084168337       -0.4948325862
        0.2104208417       -0.4765985674
        0.2124248497       -0.4587348313
        0.2144288577       -0.4412316010
        0.2164328657       -0.4240799606
        0.2184368737       -0.4072718049
        0.2204408818       -0.3907997720
        0.2224448898       -0.3746571602
        0.2244488978       -0.3588378312
        0.2264529058       -0.3433361032
        0.2284569138       -0.3281466368
        0.2304609218       -0.3132643166
        0.2324649299       -0.2986841338
        0.2344689379       -0.2844010721
        0.2364729459       -0.2704100021
        0.2384769539       -0.2567055859
        0.2404809619       -0.2432821967
        0.2424849699       -0.2301338557
        0.2444889780       -0.2172541868
        0.2464929860       -0.2046363936
        0.2484969940       -0.1922732563
        0.2505010020       -0.1801571507
        0.2525050100       -0.1682800877
        0.2545090180       -0.1566337718
        0.2565130261       -0.1452096774
        0.2585170341       -0.1339991386
        0.2605210421       -0.1229934515
        0.2625250501       -0.1121839830
        0.2645290581       -0.1015622846
        0.2665330661       -0.0911202054
        0.2685370741       -0.0808500009
        0.2705410822       -0.0707444347
        0.2725450902       -0.0607968672
        0.2745490982       -0.0510013307
        0.2765531062       -0.0413525862
        0.2785571142       -0.0318461613
        0.2805611222       -0.0224783657
        0.2825651303       -0.0132462861
        0.2845691383       -0.0041477589
        0.2865731463        0.0048186791
        0.2885771543        0.0136538580
        0.2905811623        0.0223580612
        0.2925851703        0.0309311250
        0.2945891784        0.0393725513
        0.2965931864        0.0476816263
        0.2985971944        0.0558575446
        0.3006012024        0.0638995320
        0.3026052104        0.0718069646
        0.3046092184        0.0795794796
        0.3066132265        0.0872170741
        0.3086172345        0.0947201888
        0.3106212425        0.1020897741
        0.3126252505        0.1093273355
        0.3146292585        0.1164349588
        0.3166332665        0.1234153117
        0.3186372745        0.1302716242
        0.3206412826        0.1370076472
        0.3226452906        0.1436275916
        0.3246492986        0.1501360492
        0.3266533066        0.1565378988
        0.3286573146        0.1628382014
        0.3306613226        0.1690420865
        0.3326653307        0.1751546348
        0.3346693387        0.1811807616
        0.3366733467        0.1871251032
        0.3386773547        0.1929919128
        0.3406813627        0.1987849676
        0.3426853707        0.2045074904
        0.3446893788        0.2101620906
        0.3466933868        0.2157507235
        0.3486973948        0.2212746722
        0.3507014028        0.2267345511
        0.3527054108        0.2321303316
